hour,day,rssi,distance,label
2,1,-56.774550878968114,0.003101812452890163,1
6,1,-68.12761854571326,0.0009847400190942423,0
22,1,-62.044730128376855,0.0035403816720007875,0
11,3,-85.07061027867167,0.02147098565760047,2
9,6,-62.18566351564542,0.0012195667047429414,0
11,0,-23.99373519659949,0.0015799250816060737,0
7,1,-47.77174007499326,0.0017605799146804563,0
22,0,-59.01405634867629,0.0008087168345555062,0
20,1,-61.36163043670602,0.006649833367838413,1
8,2,-83.36016064815774,0.003932752847755575,1
20,0,-88.61849887589759,0.0016912883503012624,0
18,5,-55.277694157641946,0.0003576779842807686,0
1,6,-51.15984281067322,0.0015455983994324314,1
10,4,-54.20278907929887,0.00144693300400459,0
21,4,-42.60052475985968,0.0010604094904917744,0
21,0,-58.633361706994734,0.02908191239108228,2
21,6,-61.93716924839643,0.0028523287644651256,0
8,4,-40.073803910841946,0.0007721330345478747,0
20,4,-44.85288382076878,0.0009040922363089106,0
8,5,-55.616813675312834,0.001206972386413268,0
22,1,-76.69408720998072,0.0014471905352992941,0
20,6,-51.431994070894895,0.015815005385245294,2
15,4,-86.11255943053774,0.004116980939260203,2
7,3,-64.14376238264498,0.000516257369923429,0
2,0,-61.95550880129147,0.005133263685383864,1
12,0,-58.48608748694202,0.0060365231123884824,1
20,6,-69.30797203984397,0.00029810017188432956,0
7,5,-53.971591999431354,0.0016007662916606904,0
7,3,-71.20114069326085,0.0022356989030313176,0
18,0,-41.709586155134765,0.0007940213474980853,0
13,3,-38.022750423898934,0.0015595829250654384,0
23,5,-78.69261659596768,0.005659526254209037,1
9,1,-53.95407538171127,0.0011149032200091873,0
4,1,-58.528373032129565,0.00405956386346078,1
20,5,-50.293462348123384,0.00019732871225652644,0
9,2,-52.565373748956354,0.000528879829429852,0
9,0,-48.49710304928832,0.000950638170600776,0
21,0,-77.20570104281855,0.004297940884035446,1
3,6,-51.94521192845671,0.006560453652613583,1
13,2,-59.904757463267025,0.00027185307348659486,0
8,2,-45.73511301199946,0.001576808472615648,0
21,4,-40.83654786746625,0.002234928189135912,0
12,3,-58.10969918484152,0.0008575720587394978,0
8,5,-46.71270588395367,0.0012491706269710564,0
12,3,-58.034691477140505,0.000678121911693195,0
2,3,-66.1229695206056,0.004712560152820308,1
20,0,-73.82788681741403,0.004062787135383501,2
1,0,-46.83912209756185,0.005153747783416917,1
22,6,-66.57723958254104,0.004568986083858051,1
